Name;Lvl;Att;Def;D-;D+;HP;Spd;Grw;Val;Cost;Special
Pikeman ;1;4;5;1;3;10;4;14;80;60;Immune to jousting
Halberdier ;1+;6;5;2;3;10;5;14;115;75;Immune to jousting
Archer ;2;6;3;2;3;10;4;9;126;100;Ranged (12 shots)
Marksman ;2+;6;3;2;3;10;6;9;184;150;Ranged (24 shots), Double attack
Griffin ;3;8;8;3;6;25;6;7;351;200;Flying, Two retaliations
Royal Griffin ;3+;9;9;3;6;25;9;7;448;240;Flying, Unlimited retaliations
Swordsman ;4;10;12;6;9;35;5;4;445;300;
Crusader ;4+;12;12;7;10;35;6;4;558;400;Double attack
Monk ;5;12;7;10;12;30;5;3;485;400;Ranged (12 shots)
Zealot ;5+;12;10;10;12;30;7;3;750;450;Ranged (24 shots), No melee penalty
Cavalier ;6;15;15;15;25;100;7;2;1946;1000;Jousting
Champion ;6+;16;16;20;25;100;9;2;2100;1200;Jousting
Angel ;7;20;20;50;50;200;12;1;5019;3000;Flying, Hates Devils, Morale +1
Archangel ;7+;30;30;50;50;250;18;1;8776;5000;Flying, Hates Devils, Resurrection, Morale +1
Centaur ;1;5;3;2;3;8;6;14;100;70;
Centaur Captain ;1+;6;3;2;3;10;8;14;138;90;
Dwarf ;2;6;7;2;4;20;3;8;138;120;Resistance +20%
Battle Dwarf ;2+;7;7;2;4;20;5;8;209;150;Resistance +40%
Wood Elf ;3;9;5;3;5;15;6;7;234;200;Ranged (24 shots)
Grand Elf ;3+;9;5;3;5;15;7;7;331;225;Ranged (24 shots), Double attack
Pegasus ;4;9;8;5;9;30;8;5;518;250;Flying, Magic damper
Silver Pegasus ;4+;9;10;5;9;30;12;5;532;275;Flying, Magic damper
Dendroid Guard ;5;9;12;10;14;55;3;3;517;350;Binding
Dendroid Soldier ;5+;9;12;10;14;65;4;3;803;425;Binding
Unicorn ;6;15;14;18;22;90;7;2;1806;850;Blind, Aura of Resistance +20%
War Unicorn ;6+;15;14;18;22;110;9;2;2030;950;Blind, Aura of Resistance +20%
Green Dragon ;7;18;18;40;50;180;10;1;4872;2400;Flying, Breath attack, Resist lvl 1???3 spells
Gold Dragon ;7+;27;27;40;50;250;16;1;8613;4000;Flying, Breath attack, Resist lvl 1???4 spells
Gremlin ;1;3;3;1;2;4;4;16;44;30;
Master Gremlin ;1+;4;4;1;2;4;5;16;66;40;Ranged (8 shots)
Stone Gargoyle ;2;6;6;2;3;16;6;9;165;130;Unliving, Flying
Obsidian Gargoyle ;2+;7;7;2;3;16;9;9;201;160;Unliving, Flying
Stone Golem ;3;7;10;4;5;30;3;6;250;150;Unliving, Spell Damage Resistance +50%
Iron Golem ;3+;9;10;4;5;35;5;6;412;200;Unliving, Spell Damage Resistance +75%
Mage ;4;11;8;7;9;25;5;4;570;350;Ranged (24 shots), No melee penalty, Spells cost -2 sp
Arch Mage ;4+;12;9;7;9;30;7;4;680;450;Ranged (24 shots), No melee penalty, No obstacle penalty, Spells cost -2 sp
Genie ;5;12;12;13;16;40;7;3;884;550;Flying, Hates Efreets
Master Genie ;5+;12;12;13;16;40;11;3;942;600;Flying, Spellcaster, Hates Efreets
Naga ;6;16;13;20;20;110;5;2;2016;1100;No enemy retaliation
Naga Queen ;6+;16;13;30;30;110;7;2;2840;1600;No enemy retaliation
Giant ;7;19;16;40;60;150;7;1;3718;2000;Immunity to Mind
Titan ;7+;24;24;40;60;300;11;1;7500;5000;Ranged (24 shots), No melee penalty, Immunity to Mind, Hates Black Dragons
Imp ;1;2;3;1;2;4;5;15;50;50;
Familiar ;1+;4;4;1;2;4;7;15;60;60;Magic channel
Gog ;2;6;4;2;4;13;4;8;159;125;Ranged (12 shots)
Magog ;2+;7;4;2;4;13;6;8;240;175;Ranged (24 shots), Fireball attack
Hell Hound ;3;10;6;2;7;25;7;5;357;200;
Cerberus ;3+;10;8;2;7;25;8;5;392;250;No enemy retaliation, 3-headed attack
Demon ;4;10;10;7;9;35;5;4;445;250;
Horned Demon ;4+;10;10;7;9;40;6;4;480;270;
Pit Fiend ;5;13;13;13;17;45;6;3;765;500;
Pit Lord ;5+;13;13;13;17;45;7;3;1224;700;Summon demons
Efreet ;6;16;12;16;24;90;9;2;1670;900;Flying, Fire immunity
Efreet Sultan ;6+;16;14;16;24;90;13;2;1848;1100;Flying, Fire shield, Fire immunity, Hates Genies
Devil ;7;19;21;30;40;160;11;1;5101;2700;Teleporting, No enemy retaliation, Luck -1, Hates Angels
Arch Devil ;7+;26;28;30;40;200;17;1;7115;4500;Teleporting, No enemy retaliation, Luck -1, Hates Angels
Skeleton ;1;5;4;1;3;6;4;12;60;60;Undead
Skeleton Warrior ;1+;6;6;1;3;6;5;12;85;70;Undead
Walking Dead ;2;5;5;2;3;15;3;8;98;100;Undead
Zombie ;2+;5;5;2;3;20;4;8;128;125;Undead, Disease
Wight ;3;7;7;3;5;18;5;7;252;200;Undead, Flying, Regeneration
Wraith ;3+;7;7;3;5;18;7;7;315;230;Undead, Flying, Regeneration, Mana drain
Vampire ;4;10;9;5;8;30;6;4;555;360;Undead, Flying, No retaliation
Vampire Lord ;4+;10;10;5;8;40;9;4;783;500;Undead, Flying, No retaliation, Life drain
Lich ;5;13;10;11;13;30;6;3;848;550;Ranged (12 shots), Undead, Death cloud
